# Patched by Osamu_Ren
steelArch                            stainlessSteelArch
steelArrowSlitHalf                   stainlessSteelArrowSlitHalf
steelBlock                           stainlessSteelBlock
steelCNRFull                         stainlessSteelCNRFull
steelCNRInside                       stainlessSteelCNRInside
steelCNRRamp                         stainlessSteelCNRRamp
steelCNRRampFiller                   stainlessSteelCNRRampFiller
steelCNRRound                        stainlessSteelCNRRound
steelCNRRoundTop                     stainlessSteelCNRRoundTop
steelCTRPlate                        stainlessSteelCTRPlate
steelCTRpole                         stainlessSteelCTRpole
steelEighth                          stainlessSteelEighth
steelGableInvertedHalf               stainlessSteelGableInvertedHalf
steelGableInvertedQuarter            stainlessSteelGableInvertedQuarter
steelGableInvertedSteep              stainlessSteelGableInvertedSteep
steelGableQuarter                    stainlessSteelGableQuarter
steelHalf                            stainlessSteelHalf
steelPillar100                       stainlessSteelPillar100
steelPillar100Cap                    stainlessSteelPillar100Cap
steelPillar50                        stainlessSteelPillar50
steelPlate                           stainlessSteelPlate
steelPlateOffset                     stainlessSteelPlateOffset
steelPole                            stainlessSteelPole
steelPyramid                         stainlessSteelPyramid
steelQuarter                         stainlessSteelQuarter
steelQuarterCNR                      stainlessSteelQuarterCNR
steelQuarterCNR3Way                  stainlessSteelQuarterCNR3Way
steelQuarterSCtr                     stainlessSteelQuarterSCtr
steelQuarterTeeSCtr                  stainlessSteelQuarterTeeSCtr
steelRamp                            stainlessSteelRamp
steelStairs25                        stainlessSteelStairs25
steelStairs25CornerCNR               stainlessSteelStairs25CornerCNR
steelStairsFilledRailingLeft         stainlessSteelStairsFilledRailingLeft
steelStairsFilledRailingRight        stainlessSteelStairsFilledRailingRight
steelSupport                         stainlessSteelSupport
steelWedge                           stainlessSteelWedge
steelWedgeCNRInsideBottom            stainlessSteelWedgeCNRInsideBottom
steelWedgeCNRInsideSteepBase         stainlessSteelWedgeCNRInsideSteepBase
steelWedgeCNRInsideSteepTop          stainlessSteelWedgeCNRInsideSteepTop
steelWedgeCNRInsideTop               stainlessSteelWedgeCNRInsideTop
steelWedgeCNRSteepBase               stainlessSteelWedgeCNRSteepBase
steelWedgeCNRSteepTop                stainlessSteelWedgeCNRSteepTop
steelWedgeIncline                    stainlessSteelWedgeIncline
steelWedgeStairs                     stainlessSteelWedgeStairs
steelWedgeTip                        stainlessSteelWedgeTip
steelWedgeTipCNRFullBottom           stainlessSteelWedgeTipCNRFullBottom
steelWedgeTipCNRFullTop              stainlessSteelWedgeTipCNRFullTop
steelWedgeTipStairs                  stainlessSteelWedgeTipStairs
